1784016633.896411, BG indexer pilot, Chroma indexer, run, end, 108503266303750
1784016633.896472, BG indexer pilot, pipeline - passages, run, end, 78781992462911678108438208504421869504, 1784016633.781713, 1, 28, 108503266368583
1784016633.896670, BG indexer pilot, pipeline - passages, run, start, 209610390531150332536272618507199667029, 1784016633.896646, 1, 29, 108503266553666
1784016633.896749, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108503266633041
1784016633.896828, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108503266710291
1784016633.896854, BG indexer pilot, Embed passages, run, start, 108503266736500
1784016633.985392, BG indexer pilot, Embed passages, run, end, 108503355281416
1784016633.985441, BG indexer pilot, Chroma indexer, run, start, 108503355326250
1784016634.002149, BG indexer pilot, Chroma indexer, run, end, 108503372035500
1784016634.002199, BG indexer pilot, pipeline - passages, run, end, 209610390531150332536272618507199667029, 1784016633.896646, 1, 29, 108503372084416
1784016634.002360, BG indexer pilot, pipeline - passages, run, start, 65461299239925118704076712116014413231, 1784016634.002338, 1, 30, 108503372242583
1784016634.002430, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108503372313833
1784016634.002489, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108503372371250
1784016634.002535, BG indexer pilot, Embed passages, run, start, 108503372417083
1784016634.097701, BG indexer pilot, Embed passages, run, end, 108503467605375
1784016634.097802, BG indexer pilot, Chroma indexer, run, start, 108503467691333
1784016634.116370, BG indexer pilot, Chroma indexer, run, end, 108503486262166
1784016634.116423, BG indexer pilot, pipeline - passages, run, end, 65461299239925118704076712116014413231, 1784016634.002338, 1, 30, 108503486309083
1784016634.116601, BG indexer pilot, pipeline - passages, run, start, 192446389516242828403268530792230233449, 1784016634.116575, 1, 31, 108503486483791
1784016634.116691, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108503486578000
1784016634.116796, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108503486680375
1784016634.116858, BG indexer pilot, Embed passages, run, start, 108503486740541
1784016634.208932, BG indexer pilot, Embed passages, run, end, 108503578833958
1784016634.209061, BG indexer pilot, Chroma indexer, run, start, 108503578951375
1784016634.230688, BG indexer pilot, Chroma indexer, run, end, 108503600576791
1784016634.230738, BG indexer pilot, pipeline - passages, run, end, 192446389516242828403268530792230233449, 1784016634.116575, 1, 31, 108503600624750
1784016634.230909, BG indexer pilot, pipeline - passages, run, start, 229551848896415825958782532009816415557, 1784016634.230884, 1, 32, 108503600793666
1784016634.230991, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108503600876083
1784016634.231074, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108503600957125
1784016634.231123, BG indexer pilot, Embed passages, run, start, 108503601006250
1784016634.321128, BG indexer pilot, Embed passages, run, end, 108503691028625
1784016634.321227, BG indexer pilot, Chroma indexer, run, start, 108503691125583
1784016634.340247, BG indexer pilot, Chroma indexer, run, end, 108503710139000
1784016634.340307, BG indexer pilot, pipeline - passages, run, end, 229551848896415825958782532009816415557, 1784016634.230884, 1, 32, 108503710198500
1784016634.340536, BG indexer pilot, pipeline - passages, run, start, 177815150737002030148063264199411321219, 1784016634.340505, 1, 33, 108503710421666
1784016634.340616, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108503710505458
1784016634.340697, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108503710580416
1784016634.340739, BG indexer pilot, Embed passages, run, start, 108503710622416
1784016634.440147, BG indexer pilot, Embed passages, run, end, 108503810044458
1784016634.440218, BG indexer pilot, Chroma indexer, run, start, 108503810105833
1784016634.450827, BG indexer pilot, Chroma indexer, run, end, 108503820719083
1784016634.450881, BG indexer pilot, pipeline - passages, run, end, 177815150737002030148063264199411321219, 1784016634.340505, 1, 33, 108503820768083
1784016634.451056, BG indexer pilot, pipeline - passages, run, start, 34104693279414609535679986148196259559, 1784016634.451027, 1, 34, 108503820940875
1784016634.451138, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108503821023375
1784016634.451208, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108503821096666
1784016634.451257, BG indexer pilot, Embed passages, run, start, 108503821140791
1784016634.540113, BG indexer pilot, Embed passages, run, end, 108503910009208
1784016634.540174, BG indexer pilot, Chroma indexer, run, start, 108503910063125
1784016634.551702, BG indexer pilot, Chroma indexer, run, end, 108503921594375
1784016634.551762, BG indexer pilot, pipeline - passages, run, end, 34104693279414609535679986148196259559, 1784016634.451027, 1, 34, 108503921649583
1784016634.551942, BG indexer pilot, pipeline - passages, run, start, 179911850972749912525550160039747042767, 1784016634.551914, 1, 35, 108503921826500
1784016634.552022, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108503921909166
1784016634.552096, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108503921980208
1784016634.552144, BG indexer pilot, Embed passages, run, start, 108503922028208
1784016634.641578, BG indexer pilot, Embed passages, run, end, 108504011478416
1784016634.641659, BG indexer pilot, Chroma indexer, run, start, 108504011550041
1784016634.656616, BG indexer pilot, Chroma indexer, run, end, 108504026511791
1784016634.656675, BG indexer pilot, pipeline - passages, run, end, 179911850972749912525550160039747042767, 1784016634.551914, 1, 35, 108504026565500
1784016634.656890, BG indexer pilot, pipeline - passages, run, start, 291803030007898860292806310304344312412, 1784016634.656860, 1, 36, 108504026778416
1784016634.656981, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108504026868750
1784016634.657057, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108504026942250
