1784081773.782036, ResNet50-v1.5 inference, pipeline - val, run, end, 168972991156245288780571282688833717722, 1784081773.774820, 1, 22, 6200839620123254
1784081773.782552, ResNet50-v1.5 inference, pipeline - val, run, start, 263579287751221652261063280804754747448, 1784081773.782496, 1, 23, 6200839620626327
1784081773.782837, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839620918135
1784081773.784621, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839622699993
1784081773.784687, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839622752569
1784081773.785425, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839623487579
1784081773.785461, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839623527259
1784081773.788383, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839626446143
1784081773.788452, ResNet50-v1.5 inference, pipeline - val, run, end, 263579287751221652261063280804754747448, 1784081773.782496, 1, 23, 6200839626531951
1784081773.788879, ResNet50-v1.5 inference, pipeline - val, run, start, 328493431476370623235725573612801682844, 1784081773.788832, 1, 24, 6200839626947919
1784081773.789148, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839627228144
1784081773.790922, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839629014658
1784081773.791033, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839629108610
1784081773.792090, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839630153988
1784081773.792130, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839630197908
1784081773.794993, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839633056600
1784081773.795055, ResNet50-v1.5 inference, pipeline - val, run, end, 328493431476370623235725573612801682844, 1784081773.788832, 1, 24, 6200839633131592
1784081773.795470, ResNet50-v1.5 inference, pipeline - val, run, start, 323900339913914015076600779715657893161, 1784081773.795424, 1, 25, 6200839633537320
1784081773.795639, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839633718585
1784081773.797479, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839635556155
1784081773.797659, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839635733707
1784081773.798963, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839637027165
