1782435943.652750, baseline_finetune, training_step, run, start, 4555009490846333
1782435943.692011, baseline_finetune, training_step, run, end, 4555009530099731
1782435943.713810, baseline_finetune, training_step, run, start, 4555009551900940
1782435943.753151, baseline_finetune, training_step, run, end, 4555009591246594
1782435943.780518, baseline_finetune, training_step, run, start, 4555009618611929
1782435943.819270, baseline_finetune, training_step, run, end, 4555009657360589
1782435943.846085, baseline_finetune, training_step, run, start, 4555009684172146
1782435943.884162, baseline_finetune, training_step, run, end, 4555009722252229
1782435943.908054, baseline_finetune, training_step, run, start, 4555009746137875
1782435943.947227, baseline_finetune, training_step, run, end, 4555009785321513
1782435943.972367, baseline_finetune, training_step, run, start, 4555009810453578
1782435944.011495, baseline_finetune, training_step, run, end, 4555009849606511
1782435944.037203, baseline_finetune, training_step, run, start, 4555009875285618
1782435944.076120, baseline_finetune, training_step, run, end, 4555009914239702
1782435944.165041, baseline_finetune, training_step, run, start, 4555010003134972
1782435944.202649, baseline_finetune, training_step, run, end, 4555010040741437
1782435944.234710, baseline_finetune, training_step, run, start, 4555010072799504
1782435944.273627, baseline_finetune, training_step, run, end, 4555010111722565
1782435944.300624, baseline_finetune, training_step, run, start, 4555010138712282
1782435944.339416, baseline_finetune, training_step, run, end, 4555010177497551
1782435944.405663, baseline_finetune, training_step, run, start, 4555010243752730
1782435944.444354, baseline_finetune, training_step, run, end, 4555010282447566
1782435944.472593, baseline_finetune, training_step, run, start, 4555010310681688
1782435944.511432, baseline_finetune, training_step, run, end, 4555010349517724
1782435944.541665, baseline_finetune, training_step, run, start, 4555010379752026
1782435944.579668, baseline_finetune, training_step, run, end, 4555010417754109
1782435944.601996, baseline_finetune, training_step, run, start, 4555010440085238
1782435944.641655, baseline_finetune, training_step, run, end, 4555010479740877
1782435944.664553, baseline_finetune, training_step, run, start, 4555010502644968
1782435944.702758, baseline_finetune, training_step, run, end, 4555010540855371
1782435944.761455, baseline_finetune, training_step, run, start, 4555010599542707
1782435944.799496, baseline_finetune, training_step, run, end, 4555010637591397
1782435944.823735, baseline_finetune, training_step, run, start, 4555010661823092
1782435944.862175, baseline_finetune, training_step, run, end, 4555010700257863
1782435944.895785, baseline_finetune, training_step, run, start, 4555010733881150
1782435944.934407, baseline_finetune, training_step, run, end, 4555010772502274
1782435944.961512, baseline_finetune, training_step, run, start, 4555010799604344
1782435945.000770, baseline_finetune, training_step, run, end, 4555010838873118
1782435945.038098, baseline_finetune, training_step, run, start, 4555010876181358
1782435945.075747, baseline_finetune, training_step, run, end, 4555010913843552
1782435945.106570, baseline_finetune, training_step, run, start, 4555010944651903
1782435945.145458, baseline_finetune, training_step, run, end, 4555010983553588
1782435945.170060, baseline_finetune, training_step, run, start, 4555011008143187
1782435945.208779, baseline_finetune, training_step, run, end, 4555011046858327
1782435945.234683, baseline_finetune, training_step, run, start, 4555011072766298
1782435945.273289, baseline_finetune, training_step, run, end, 4555011111389309
1782435945.301544, baseline_finetune, training_step, run, start, 4555011139629846
1782435945.340322, baseline_finetune, training_step, run, end, 4555011178420827
1782435945.363519, baseline_finetune, training_step, run, start, 4555011201606598
1782435945.402516, baseline_finetune, training_step, run, end, 4555011240615659
1782435945.462704, baseline_finetune, training_step, run, start, 4555011300797815
1782435945.501921, baseline_finetune, training_step, run, end, 4555011340060108
1782435945.525159, baseline_finetune, training_step, run, start, 4555011363248936
1782435945.563614, baseline_finetune, training_step, run, end, 4555011401711035
