# E2 collection
# started      : 2026-08-28 18:51:50 +0200
# machine      : m2pro
# git_commit   : d242d80917d7efd10b759e41aea271892ef949ae
# git_dirty    : yes
# host         : mac623807 
# platform     : macOS-26.5.2-arm64-arm-64bit
# python       : 3.10.20
# torch        : 2.10.0
# radt         : 0.2.29
# mlflow       : 3.15.1
# pin          : none
# runs         : 11
[08-28 18:51:54] E2 collection: 9 cell(s) x 3 configurations x 11 runs on m2pro
[08-28 22:14:44]   mod_meffv2s_b2_monolith_m2pro_r10 rc=0 16s rows=605 spans=n/a
[08-28 22:15:03]   mod_meffv2s_b2_choreo_m2pro_r10 rc=0 19s rows=602 spans=n/a
[08-28 22:15:22]   mod_meffv2s_b2_choreo-traced_m2pro_r10 rc=0 19s rows=603 spans=2401
[08-28 22:15:41]   mod_meffv2s_b2_choreo_m2pro_r11 rc=0 19s rows=602 spans=n/a
[08-28 22:16:00]   mod_meffv2s_b2_choreo-traced_m2pro_r11 rc=0 19s rows=603 spans=2401
[08-28 22:16:17]   mod_meffv2s_b2_monolith_m2pro_r11 rc=0 17s rows=605 spans=n/a
[08-28 22:18:48]   mod_meffv2s_b32_monolith_m2pro_r1 rc=0 151s rows=605 spans=n/a
[08-28 22:21:21]   mod_meffv2s_b32_choreo_m2pro_r1 rc=0 153s rows=602 spans=n/a
[08-28 22:23:56]   mod_meffv2s_b32_choreo-traced_m2pro_r1 rc=0 155s rows=603 spans=2401
[08-28 22:26:27]   mod_meffv2s_b32_choreo_m2pro_r2 rc=0 151s rows=602 spans=n/a
[08-28 22:28:59]   mod_meffv2s_b32_choreo-traced_m2pro_r2 rc=0 152s rows=603 spans=2401
[08-28 22:31:29]   mod_meffv2s_b32_monolith_m2pro_r2 rc=0 150s rows=605 spans=n/a
[08-28 22:34:03]   mod_meffv2s_b32_choreo-traced_m2pro_r3 rc=0 154s rows=603 spans=2401
[08-28 22:36:34]   mod_meffv2s_b32_monolith_m2pro_r3 rc=0 151s rows=605 spans=n/a
[08-28 22:39:07]   mod_meffv2s_b32_choreo_m2pro_r3 rc=0 153s rows=602 spans=n/a
