1769613293.286555, baseline_finetune, training_step, run, end
1769613293.287627, baseline_finetune, training_step, run, start
1769613293.367546, baseline_finetune, training_step, run, end
1769613293.368057, baseline_finetune, training_step, run, start
1769613293.446983, baseline_finetune, training_step, run, end
1769613293.447350, baseline_finetune, training_step, run, start
1769613293.528392, baseline_finetune, training_step, run, end
1769613293.528821, baseline_finetune, training_step, run, start
1769613293.608706, baseline_finetune, training_step, run, end
1769613293.609255, baseline_finetune, training_step, run, start
1769613293.689364, baseline_finetune, training_step, run, end
1769613293.689798, baseline_finetune, training_step, run, start
1769613293.769229, baseline_finetune, training_step, run, end
1769613293.769734, baseline_finetune, training_step, run, start
1769613293.850907, baseline_finetune, training_step, run, end
1769613293.851311, baseline_finetune, training_step, run, start
1769613293.931061, baseline_finetune, training_step, run, end
1769613293.931511, baseline_finetune, training_step, run, start
1769613294.010848, baseline_finetune, training_step, run, end
1769613294.011294, baseline_finetune, training_step, run, start
1769613294.092855, baseline_finetune, training_step, run, end
1769613294.093233, baseline_finetune, training_step, run, start
1769613294.172293, baseline_finetune, training_step, run, end
1769613294.172734, baseline_finetune, training_step, run, start
1769613294.252088, baseline_finetune, training_step, run, end
1769613294.252494, baseline_finetune, training_step, run, start
1769613294.331738, baseline_finetune, training_step, run, end
1769613294.332051, baseline_finetune, training_step, run, start
1769613294.411798, baseline_finetune, training_step, run, end
1769613294.412302, baseline_finetune, training_step, run, start
1769613294.492570, baseline_finetune, training_step, run, end
1769613294.493156, baseline_finetune, training_step, run, start
1769613294.573493, baseline_finetune, training_step, run, end
1769613294.573801, baseline_finetune, training_step, run, start
1769613294.653146, baseline_finetune, training_step, run, end
1769613294.653444, baseline_finetune, training_step, run, start
1769613294.734357, baseline_finetune, training_step, run, end
1769613294.734840, baseline_finetune, training_step, run, start
1769613294.814438, baseline_finetune, training_step, run, end
1769613294.814891, baseline_finetune, training_step, run, start
1769613294.893630, baseline_finetune, training_step, run, end
1769613294.893914, baseline_finetune, training_step, run, start
1769613294.974157, baseline_finetune, training_step, run, end
1769613294.974598, baseline_finetune, training_step, run, start
1769613295.054716, baseline_finetune, training_step, run, end
1769613295.055071, baseline_finetune, training_step, run, start
1769613295.134374, baseline_finetune, training_step, run, end
1769613295.134833, baseline_finetune, training_step, run, start
1769613295.214328, baseline_finetune, training_step, run, end
