arm	depth	run	rc	seconds	csv_rows	spans
as-reported	p1048576_copy	5	0	4	2224	
as-reported	p1048576_copy	6	0	4	2224	
as-reported	p1048576_copy	7	0	4	2224	
as-reported	p1048576_copy	8	0	4	2224	
as-reported	p1048576_copy	9	0	4	2224	
as-reported	p1048576_copy	10	0	4	2224	
as-reported	p1048576_copy	11	0	4	2224	
as-reported	p10485760_ref	1	0	4	2224	
as-reported	p10485760_ref	2	0	4	2224	
as-reported	p10485760_ref	3	0	4	2224	
as-reported	p10485760_ref	4	0	4	2224	
as-reported	p10485760_ref	5	0	4	2224	
as-reported	p10485760_ref	6	0	4	2224	
as-reported	p10485760_ref	7	0	4	2224	
as-reported	p10485760_ref	8	0	4	2224	
as-reported	p10485760_ref	9	0	4	2224	
as-reported	p10485760_ref	10	0	4	2224	
as-reported	p10485760_ref	11	0	4	2224	
as-reported	p10485760_copy	1	0	4	2224	
as-reported	p10485760_copy	2	0	4	2224	
as-reported	p10485760_copy	3	0	4	2224	
as-reported	p10485760_copy	4	0	5	2224	
as-reported	p10485760_copy	5	0	4	2224	
as-reported	p10485760_copy	6	0	4	2224	
as-reported	p10485760_copy	7	0	4	2224	
as-reported	p10485760_copy	8	0	4	2224	
as-reported	p10485760_copy	9	0	4	2224	
as-reported	p10485760_copy	10	0	4	2224	
as-reported	p10485760_copy	11	0	5	2224	
